   # # #    #    # #     ##   #  #      #   #   ##
 #      # #  # #    ####   SZ   #  # ## # #   #  #
 ## ###    ##  ####     ## ### #  #   #  # # ###  
   ##  ### #  #    # ##  #  #  # # ##  #     #Z## 
 #   # # #   #  ## #   #  #  #  #   # #Z #### ##  
#  #      ### #  ##### # # # # ## # #   #   #    #
  ### ###      #   #   # #   #    # # # # # # ####
 # # #   #### ## # # # #   ## ####  # # # # #    #
#    # # #      #  # #  ####      # ##  # #  ###  
  ##   #  #####  # #  ##    #####      #  ##    #Z
 #  ###  #     #    #    ##      # # ##  # ####   
 # #   ##  ###  # # ####  # # ## ##   # ##    ### 
     ##   #  # #Z# #    #  #   #   # #  # Z##   # 
## # #  #  # #  #    ##  ##  # ### ##  #  #  ## # 
 # #  #  # # ## # ###  #   ###   #  # #  ###    # 
  # #  ##  #  # #   # ####    ##### # # # #  ## # 
#    #    # #   ### #  # ####    #    #   # #  ## 
  ##  # ##   # #    ##      ## #  # ##  # #   #   
 #   # #   # #   # # # ## #  # # #   ###  # ##  # 
  # #   # #   #####   ###  #  #  # #    ##  #  #  
 #  # # #  # #   #  #  #  # ##  #   # # ## #  # # 
  #   # ## # ## ## # #   # Z   #  #  #     # #  # 
# # ###    #    #  #  ##   # ##  # # Z###### # #  
   #   ## # # ##  ## # ##Z# #   #   ##       Z # #
 ##  # #    #  # #   #       ## # #  # # ### #    
#   #  ### #Z #  Z# ## ## ##    #  #    #   #  ## 
  ## #    #  #  #   #  # ## # ## # # ###  #   # # 
#  #  # Z  # # #  #  # #Z    ##  # #Z   #  # ##   
 #  #  # # # # ##  # # ## ##   # #    # Z # ##  # 
  # ##     # #   #  #     # ## #  ####  ##    ### 
#    # # ##   ##  #  #####  #   # #   #    ##    #
  ##  #  #  # #  ###       #  ##    #  # ##  ###  
 #  # ##   # #  # #  ##### # #   # Z ##  ## #  # #
  # #   ##Z#   #    #      # # #  #    #      ##  
# #  ## #    ##  # # # ## #  #  ##  ##  #####   # 
#   #   # # #   # #    #Z#  # # #  #  # #    # #  
 ## # ##  ## ##   # # #   #   # # ### #   ##  #  #
    #    #     ## # # # #  ##   #  #   ###  # ##  
# ## ## #  # #  # #  #  ##   # #  #  #    # #    #
  #  # # #  # # ####   #  ##   # #  #  ##    # #  
#   #     # # #   ### #  ## ###  # # ##  # #  # # 
 ## # # ##  # ###  #    #     # #  #    #  ##     
  #   #    #     # # ###  ### #  ##  ##  #   #### 
 # ### ## # ## ##  ##    #  # ##    ## #  # #    #
         #     #  #   ###  ##   ## #   # #  # ##  
 ## ####  # ##  #   ##    #  ##   #  # # # # #  # 
   #   # #   ## ####   # # #   ## ## #   #     #  
 #   #  #  #  ##     ## #   # # #  #  # # ####   #
 #### #   # #    # ##   # #     # #  # ##    ### #
       # #Z   # #     #    # ##     #     ##      

   #         #   #    #####   #######      #  #   
 # ### ## ## # #  # #  ###  z  #####  ####  #  # #
 #    #   #  #  #  # #  #  ###  ###  #    #  #   #
 ## #  # Z# # #  # #  # # # # #  #  # # ## #  z#  
  ##  #  #  # ## # ##   #      # # ##  z#   #  ## 
#   #  # # #     #    # ###### #   #  #   #  #  # 
###  # # # ## # # ###  #     #  #### # # ###  #   
#   #  # #   #  # #   #  # ####      #  # # # ## #
  ## # #  ##   #    #  # #   # # ##### #    #  #  
 ###   ##   # # ## #  #  # #   Z#      # # # # ##z
 ##  ##  # ###    #  #  # # ## #  # # ## #   #  # 
   #   #    ## ## # # #     #   # ##  #  ## #  #  
 #  # #  ##    #z Z #  ## # # #  #   #  # z # ## #
#  #   #  #####  #  ##  ##  # ##   # # #  # # #   
  ## #  ##     #  #    #   #   ## # ## ## #   # ##
#   # # #  ###  #  ### # ## ##  ##         # ##   
  # #   # #   #  #    #  #    #    # ######    ## 
# #  # #  # #  #  ###   #  ##  # ## #    Z #####  
  ## #  #  #  ###   Z #  ###  #  #  # #### #    # 
 # # ##  #  #  # ##  #  #    #  ### # #  # # ## # 
   #   #  # # #  # # # #  # #  # #  # # ## #  #   
# # ## # ## #   #  # #   ##z  ##   #  #  Z  #  Z #
     # #    # #   #  #### #  #   # # z  ###  # #  
#### #  # ##   ## ##     z #   ### # # #   # z ###
    #  ###   #  #   # # Z#  # #   #   #  #  # #   
 ##   ###  #z # #z## ###  # # # #  # #  #  #  # # 
 # ##  #  #   #       #  #  ##  ## #   #  # ##  # 
 #   ## z#  #  # # ##   z #    #    z##  ##    #  
  # #   ## # ##   #  ## # # # # # #    #z#  ###  #
 #  # ###  #   ##   # #   #  #   ##### #   #   #  
  #       #  #   Z#    ##   #  #  #    # # # #   #
#  # ## # # ## #   #####  # # #  #  ###   #  ###  
##  ##   #  #   ## #    ## #   # # z   ## # #  ## 
###   ##  z  # # #   ##      ### #   # #  #  #  # 
##  # # # ##  #   ###  # # ##     # ##  #  #  #   
#  #  #    ## # # #   # z##   ###  #   # # ## ### 
  Z Z ####  #    #  ##   #  ##   ##  ##  #  #    #
 #  #    ##  ## #  #   #   #   ##   #   # # ####  
 Z #####   ## #   #  #  ###  # #  ##  #   #    # #
##  #   ##    ### # #  #    # #  #  ## #Z# # # # #
  # ## #  ###  Z#  # # # # #    # #    #    #  #  
 #     # Z   # #  #    # #   ###   # # # # ## ### 
  ## # #   ##  ## # # #   # #    #   # #  #   ### 
#   ## Z##   #    #  ######  ## #  ###  # # ## #  
  #Z  #  # #  # #  #  #    #   ### #  # # #    # #
 # ##  # # # # ###  #   ##  ##  #  ## # #   # #   
 #   # # # # #  # #  # #  # # # # #   #  ###  # # 
 # # #   ##   #    ###   #  Z # #  # # #    ### # 
 ##   ###   ## # ##   ###  #     # # # ## #     # 
  Z #     z    #    #     #  # #  Z#       # # #  
 # #  ### # # ##  # ##   ##  ##  ### # # #    #   
 #  ## #  #  #   ##  # #   ##   #      #  ## #  # 
  #    # # #  # ## Z#   ##  # ##  ## ## # #  ##  #
 # ## #  #  # #    #  # ## ##   #   #   #  #   # #
   ##  #  #   # # #  # #   # ##  ## # z # #  ###  
##   #  z  # #   #  ## # #   # # #  Z  #  ###   # 
  ##  # ## #  ## # #    z###   # # # #  #     #Z  
#  ## #     #   ##  # # #   ###  # #  #  # #Z#  # 
 # Z   # #Z# ##   # # # # #   # #   #   # #   #  #
 ## ##  #     # ##  #  #  ###    # # # ## # #  #  
   #  ### ### # ## ###  #    ### # Z      # z Z  #
Z#   #    #   #     # #  # # #  #  ## # ##  #  #  
  ### # ### ##  # ##  # # ##   #  #   # ## #  ### 
 #   z  #    ###     #       ##  z  # #    ##  #  
 # # #### ##    # ### ## # ##   # ## #  # # # #  #
 ##      # #### ##      # #   ###     ##    # ##  
   # # # #    #  # ####   # ##    ###   ### #   # 
## #  ## # # ### #     ## #  #z# ##  ##   ##  #   
   # #   ## Z #  # ### #  ##    ##  #  ##   ##  ##
 #  ## ##   ##  #    # # #   ##    # #   z#   # # 
  ##   #  ##   # ### # #  ###  # #    ##   z# # # 
#    ## #  # # #     # z#    #  # ### #  #  # # # 
 #####    ##  #  ####    # #  #         # Z#  # # 
       # #   #  #    # #  # #  # z### # #    #    
 # # # ##  ## #  # #  #  #   #  ##   #   # #### # 
  # #   # #    # #### # #  #  #    #  # #  # #  # 
# # # # #  #Z#     #  # # # # #####  #   # #  ##  
# #   ## #   ##### # #  #   ##    # #  # #  #    #
   # #   # #     #   # Z  #    ##   # ### #  # ## 
 ##    #  # # ##  ###  ##  ##z#  ###   #   #  #   
 #  ### #    #   #    #  # #    #  # ### # ##   # 
 # #    # ###  ##  ###  #  # ##  #   #   #   Z ## 
  ## ##  #   # # # #   #  #  # # # ##  ##### ##   
# #   ## # #     #  # ## # # #    ##  #  #    # # 
    #  #    # ##   #         # ##    ###   ##   # 

        ##  #            ##     ##    z  #    # z 
# # ## #   #  # # # ####   # ##    # #  ## ##   # 
   # # # #  ##  #  #    ## #   # ## #  ##  # ###  
 # # # #  #  # #  #  ## #  ## # #     ##  #    z #
 # #    #  # #  ##  # #   #   #   # ###  ##### #  
 # # # # # #  # #  #   #### z  # #      # #     # 
 # #  #    ## #  #  ##       # #  ### ##    # # # 
#  # z  ### #  # ##   ## # ## # #    #  # ##   ## 
  #  # #  #  # #   ##    ##      # #   #    ###   
 #  ##  #  #   # #   ####   ## ## ### #  ## #   # 
  #   #  #  ##  ### #   # ##   #   ##  #  # # ##  
# # # #Z# #   #  #    # # #  # # #   # ## # # #  #
  #  #  # ###  # ## # # # # #  #  # ##   ## # # # 
 # # # #      ##   #z #   # # # # #   # #   #  ## 
   ###  # # #   ##Z  ### #  # # #  Z#     Z# #    
# #   # ##  ## ## ## ##  # ##   # #  ### #     ###
#   # #  # #       #   # #   # #   #    #  ####   
  ##   # #  # ###Z z #  #  #  ## #   ##  #      # 
 #   ##   #  #   #  # # # # #     ###  ## # #Z##  
  # #   #  #   #  # # # ##    # ##    #    #    # 
 #  # ## ##  ##  ##   #   #### #   #z   #Z   ##   
 # ##      ##   #   #  ## Z     ##   #Z# ###Z# z# 
 #   #####   # #  #  #  #### ## #  # ##     z   # 
 # z #    z# # # # ##  #    #   ####   # ## ### # 
#   ## ## #  # ###   # # ##  ##     ## # #  #   # 
  ##   #  # #      # ##  # #   ####z # #  # # z#  
Z  # ## #   # ######    ##  # #   # #  ###  ## # #
 # #  #  ### #      # #    #    ##  # #   #       
    # # ##     # ##  #  ###  ##  # #  # # # # # # 
 ## ##  #  #### #   #  #   #   # # # ## #  # # #  
  #    #  #     # # # ## #   #  #  #    ##      # 
#  ## #  # # ####  #  #   # #  #  ### ##  # ### ##
  # #   #    #   #  # # ####  ## # #  #  ## # #   
#   # ## ## z  #  #  #    #  #   #  # # #      ## 
  # # #   # # # Z  #  ### # #  ## # #   ### ##  # 
 #  # # # # # #  #  #      ## #      # #   #Z  #  
#  #  # #   #  #  #  # # ##   #### #   # #  # #  #
  #  #   ###  #  #  #   #   ##    ###Z##  z  #  # 
##  #  #   # #  #  ## ##  ##  Z##  #    #  #   #  
   # ##Z # #  #  #     # #  ##  # #  ## ##  ##  # 
 # #    #   #  Z  #### #  #    #    # #  ## # #   
  #  ## # # zZ###     #  #  # ## ###  ##  #    ## 
#   # # #  #   #  ## ## # # #   #   #   #  # #   #
  ##  #  #  ## ## #  # z# #  ##   #  # ###  ## #  
 #   # Z  #      #  #  ##  #   #### #   # # #   # 
  ##    #  ## ##   # #   #  ## #    Z #   #  # #  
 #   ## ##   #  # #   ##  #    # ####  # ### z## #
   ## #   ##   # ## #   #  # ##  #   # #  #  #    
###    ## #  ###     ##  # ###  # # #   # # #  ## 
    ##     #     # #   #       #      # #     #   

#   ##   ##   #        #    ###     # # #   #   ##
  #    ##   #   # # # #  ##  #  # ##     # #  #  #
 #  # ### ## ###  #  #  #### # #  #  # #     # #  
#  #   #     #   # # # # ###  #  #  #  ### ##  # #
  # # ## ## #  ##  #   #  #Z# # #  #  #   #  # #  
 #  #      #  #  #  ### #     #   ###   #  #    # 
   # ## #### # #   #  #   ##### #  #  ### #  ## # 
# #    #     #   #  #   ##     #  #  #    ##  # # 
# # # #  ## #  #  #  ## # # ##  ##  #  # #   ##   
  # # # #  #  # #  ##   #     #   # # # #  ##  ###
 Z  ##    #  #   #  # ##  ## # ##  #  #   ####    
  #   #z #  #  # # #  #Z###  #   #   # # ####  ## 
 #  #  #  #  # ##  # # #    # # # ###  # ###  #   
  ## #  # # #   # #  #   # #      #  # #  #  #  # 
#    # ## # # # # z # # # # # # Z  z#   # z##  #  
### #  Z  #  #  #   # # #     ## # ## # #     #  #
# #   #  Z #   # # #    ## # #    #   #  ### #  ##
  # ##  ##  ## # z#  # #   # # # #  ## #    # # ##
 #   # #   # #  #  # # # #  #  #  # #   ###  z#  #
 # ###Z# #   # # # Z#  #  #   # # # # #    # # #  
   #   # ### # # ##   # #  ###  # # #  ##z##    # 
# #  ##     #  #Z  ## #   z  # ##   # z #   z # # 
  # ##  # #  # # #    # ## #     ###     ## # ##  
 #    ##  # #  # # # ##  # # # # #  ### ##  #    #
 # ## #  #   #  #  ## Z# #   ###   #   #   # Z ## 
  # # ## # #### # #   #  # ##   ##   #   # #  #   
z # #   ##   #  # # #  #  #   # # # # #### # ## # 
  #  ##   ##  # # # ##  # # ##      #      Z #  # 
#  #Z  ##   # #   #   ##  #   ## ## # # # ##   #  
 # # #  ### # # # # #  # #  #   # ##   #Z#   ##  #
 # ##  #    #  # #  ## #  # # Z #    #    ##  # ##
 #  # #  # # #     #   ## ##  #  # #  ###   # #  #
  # # # #  #   ####  #  #   # ##  #  #    #  # #  
Z##   #  ##  ##   # ## # ## #   #  ##  ###  #   # 
 #  # ## #  #   z #   #   #  # # #   ##   #   #   
 # # #   # #  ##   ##   ##  #     ##    #  #z  ###
 #   # ##  #Z   ####  ## # #  ####   ### #   ##   
  ## # # #  ### #    ##    # #    # #z   # #  # # 
 ### #    #     # ####  ####  z #  # # #  # #   # 
  #  ##z#  # # #  #    #    # #  #   #  # #  #### 
#   #    #  ###z #  # ### # #  # ###   #  # #     
  ##  # ###  z  #  # ###  Z  # #    # #  #    ### 
 ##  #  ## # ##  # #  #  # #  # # #  ###  ## #    
   ## #    #   #   ##   ##   #   # #  # #    # ###
## #   z# # # Z ##    ##   ##  # #  #Z#  ##### #  
 #   # #    #     ## #   ##   #  # #z # #      # #
  ###    # # ####   # ##  ### # #     # # #####   
#   # ####   #   ## #   #   # #  ## ##  #      ## 
# #  #    # #  # ##   #  ##   ##  #   #  ##### #  
   #   ##     #    # ###  # #   #   #  #         #

    #       # ##   #              #  #   ### #    
 ##   ## # #     # # # ### ######   #  #  #   # # 
 #  ###   #  # # ###  ##  ##     ##   ###   #  #  
  ##   ##   ##  #   #    #   # #    ## # ### #   #
#  # #   # #   ## #  ## #  z# ######     # #  ##  
 # # # #  #  ##    #    # # #  #     # ##    ## # 
 # # #  #  # #  ##  #####    #  # # # #   # #   # 
 # # # # #   # #  ##     ###  # # #     # #   # # 
 # #  #   ## # ##  # # #     ##    # ###  # #  #  
   # ## # #  #   # # #  # # #   ####    # #  ##  #
#z#  #  #  # ### # # # #   # # #    ###  # #  # # 
   # # # # #   #   #  #z ##   #  ##    ##   # #   
 ##  #   # ####  #  #  # #  #   #  ### #  # #  ## 
  # #### #     # # # # # # # ###  #    # ##   ### 
# #  #   ### #  #    # # #      z  # ##  #  # ##  
## # # z#   # # # # #  #  ## # # # #   #  #  #   #
#    # # z#   #   ##  # #   #  #    # #  #  #  #  
  ## #  # ###  ### # #   ## # # # ##  ##  ##  # # 
 #    # #    ##    #   #   #  #   #  #  #    #   #
 # ###z  # #   ## #z #  # #  #  # # #  #  ###  #  
 # #   # # ###    #   # # # #  ## #  #   #   ## # 
 ### #   #    # z  ##  ##   # #   ## # ##  #      
     ## ### ###  #  ##   # # ## ##   #  ##  #### #
# ###  # # #    ###  # #  ##    #  ## #   # #     
  #  #     # ##  # #  z #    ## # #   ### #  z####
 # # ## ##    # #   ##   ### # #  ## #    ##      
 #    #   ####  # #  # # # #   # #     # #   #### 
  # #   ##    ###  #  #  #  # ##  ### ## # z#   # 
 #  z# ### ##    #  #   # #     #    #   ###  #   
  ##   ##  # ###   # # #    ## #  ## # #z   #  ## 
#    ##   #     ###  ##  #### z ##   #    # # #   
  # #   ### # #    #    #    # #   ## ####  # # ##
 #  # ##     #  ##  # ##  ##  ## ## #     # # #   
z  #  # ## # # # ## # ## #  # #  #    ## #  # ####
  # # #    ##  #  #  #   # ##   #  ## #  # #      
 #  # # # #   ###   ## ##  # # #  #  #  #  # # ## 
 ## # # ### z# #  ##   #  #   # #  #  #   #   #   
  # #  #    #   # #  ##  ## #    #  #  ### # #  # 
 #    #  ###  # #   #   #   ####  #  # #     # #X 
 # # #  #    #   # #  #  # #   # # # #   ### #  # 
 #  #  ## ###  #  # #  # #  # #  #   # ###  # # ##
# # # #      # # #   #  # z    #   ##  #   #  #   
  # #  ### # # #   ## #    ###  ###   ## # # # ## 
 ##  #    #  #  ###     # #  # #    #    #   #    
   # # ##  #  z #   ####    #  # ####z### ##  # ##
 # #  # ##  ##  # ##     ##  #  #   #       # #   
 # ## #   # #  #   # ## # ##  #   # # # ###    ## 
 #  #  ##    # # # # ###    #  ###   # #   ###### 
 ### # # # ##   #  #  ## ## ###    # #   # #   #  
           #  #   ###     #     # #    ##    #   #
